siteID,date,observer,forayNumber,startTime,endTime,pathDist
GETZGLEPA1,2018-07-07,AMV,1,1100,1200,0
RYANKATCO1,2018-07-09,MMB,1,1100,1140,1470
STROJEACO1,2018-06-09,MMB,1,1040,1120,2414
WILLTOMCO1,2018-06-08,MMB,1,1000,1030,1620
KNIGKENNC2,2018-06-14,,,,,
FROSKATCO1,2018-06-11,MMB,1,1100,1130,1215
LIPSMARNC1,2018-06-11,EAF,1,1050,1139,1880
MANDMARNC1,2018-06-09,EAF,1,1100,1205,1530
MANDMARNC1,2018-06-09,EAF,2,1208,1228,765
MORRDOUPA1,2018-07-15,AMV,1,1100,1200,0
KARMALYPA3,2018-07-18,AMV,1,1030,1130,0
HASHTAMPA1,2018-07-19,AMV,1,0930,1030,0
YEANDAVPA1,2018-07-27,AMV,1,1030,1130,500
YEANDAVPA1,2018-07-27,DLC,1,1030,1130,0
BALDARTPA1,2018-07-28,AMV,1,0930,1045,500
BALDARTPA1,2018-07-28,DLC,1,0930,1040,0
HOPEGREPA1,2018-07-29,AMV,1,0834,0941,500
HOPEGREPA1,2018-07-29,DLC,1,0830,0941,500
RIGAMARPA1,2018-07-30,AMV,1,0751,0840,1000
RIGAMARPA1,2018-07-30,DLC,1,0751,0840,1000
