siteID,observer,date,startTime,interval,spp,d10,d20,d30,d40,d50,detection
JAKUSTEMA1,KMB,2018-07-07,0659,1,AMCR,0,0,0,0,1,B
JAKUSTEMA1,KMB,2018-07-07,0659,2,BHCO,0,0,1,0,0,A
JAKUSTEMA1,KMB,2018-07-07,0659,2,CARW,0,0,1,0,0,A
JAKUSTEMA1,KMB,2018-07-07,0659,2,TUTI,0,0,0,1,0,A
JAKUSTEMA1,KMB,2018-07-07,0659,2,RWBL,0,0,0,0,2,A
JAKUSTEMA1,KMB,2018-07-07,0659,2,AMCR,0,0,0,0,3,B
JAKUSTEMA1,KMB,2018-07-07,0659,2,AMGO,0,0,0,0,1,A
JAKUSTEMA1,KMB,2018-07-07,0659,3,TUTI,NA,NA,NA,NA,1,A
JAKUSTEMA1,KMB,2018-07-07,0659,3,MODO,NA,NA,NA,NA,1,A
JAKUSTEMA1,KMB,2018-07-07,0659,3,NOCA,NA,NA,NA,NA,1,A
JAKUSTEMA1,KMB,2018-07-07,0659,3,AMRO,NA,NA,NA,NA,1,A
JAKUSTEMA1,KMB,2018-07-07,0659,3,RWBL,NA,NA,NA,NA,2,A
JAKUSTEMA1,KMB,2018-07-07,0659,3,BHCO,NA,NA,NA,NA,1,A
JAKUSTEMA1,KMB,2018-07-07,0659,3,REVI,NA,NA,NA,NA,1,A
JAKUSTEMA1,KMB,2018-07-07,0659,3,BCCH,NA,NA,NA,NA,2,A
AKREMICMA1,,2018-05-27,,,,,,,,,
SURNSANMA1,TAH,2018-07-10,0715,1,GRCA,0,0,0,0,1,A
SURNSANMA1,TAH,2018-07-10,0715,1,BLJA,0,0,0,0,2,A
SURNSANMA1,TAH,2018-07-10,0715,1,MODO,0,0,0,1,3,B
SURNSANMA1,TAH,2018-07-10,0715,1,AMRO,0,0,0,0,1,A
SURNSANMA1,TAH,2018-07-10,0715,1,SOSP,0,0,0,1,0,A
SURNSANMA1,TAH,2018-07-10,0715,1,COYE,0,0,0,1,0,A
SURNSANMA1,TAH,2018-07-10,0715,1,NOCA,0,0,1,0,0,V
SURNSANMA1,TAH,2018-07-10,0715,1,BHCO,0,1,1,0,0,B
SURNSANMA1,TAH,2018-07-10,0715,1,HOFI,0,0,0,0,1,A
SURNSANMA1,TAH,2018-07-10,0715,1,BCCH,0,0,1,0,0,V
SURNSANMA1,TAH,2018-07-10,0715,1,TUTI,0,0,0,0,2,A
SURNSANMA1,TAH,2018-07-10,0715,1,HOSP,0,0,0,1,0,V
SURNSANMA1,TAH,2018-07-10,0715,2,HOSP,0,0,0,1,0,V
SURNSANMA1,TAH,2018-07-10,0715,2,MODO,0,0,3,0,0,V
SURNSANMA1,TAH,2018-07-10,0715,2,BHCO,0,1,4,0,0,B
SURNSANMA1,TAH,2018-07-10,0715,2,HOFI,0,0,2,0,1,B
SURNSANMA1,TAH,2018-07-10,0715,2,SOSP,0,0,0,0,1,A
SURNSANMA1,TAH,2018-07-10,0715,2,BCCH,0,0,0,1,1,A
SURNSANMA1,TAH,2018-07-10,0715,2,BLJA,0,0,0,1,1,A
SURNSANMA1,TAH,2018-07-10,0715,2,COYE,0,0,0,0,1,A
SURNSANMA1,TAH,2018-07-10,0715,2,EABL,0,1,0,0,0,B
SURNSANMA1,TAH,2018-07-10,0715,2,AMGO,0,0,0,0,1,B
SURNSANMA1,TAH,2018-07-10,0715,3,BLJA,0,0,0,1,2,A
SURNSANMA1,TAH,2018-07-10,0715,3,MODO,0,0,3,2,0,B
SURNSANMA1,TAH,2018-07-10,0715,3,HOFI,0,0,1,0,0,V
SURNSANMA1,TAH,2018-07-10,0715,3,HOSP,0,0,1,0,0,V
SURNSANMA1,TAH,2018-07-10,0715,3,TUTI,0,0,0,0,1,A
SURNSANMA1,TAH,2018-07-10,0715,3,COYE,0,0,0,0,2,A
SURNSANMA1,TAH,2018-07-10,0715,3,NOCA,0,0,0,0,2,V
SURNSANMA1,TAH,2018-07-10,0715,3,GRCA,0,0,1,0,0,V
STEVSADMA1,TAH,2018-07-08,0713,1,AMRO,0,1,0,0,0,V
STEVSADMA1,TAH,2018-07-08,0713,1,BCCH,0,0,3,0,0,B
STEVSADMA1,TAH,2018-07-08,0713,1,HOFI,0,0,2,0,0,B
STEVSADMA1,TAH,2018-07-08,0713,1,NOCA,0,1,0,0,0,B
STEVSADMA1,TAH,2018-07-08,0713,1,HOSP,0,2,0,0,0,B
STEVSADMA1,TAH,2018-07-08,0713,1,HOSP,0,0,0,2,0,A
STEVSADMA1,TAH,2018-07-08,0713,1,RBWO,0,0,0,1,0,A
STEVSADMA1,TAH,2018-07-08,0713,1,MODO,0,0,0,1,0,A
STEVSADMA1,TAH,2018-07-08,0713,2,HOSP,1,1,1,0,0,B
STEVSADMA1,TAH,2018-07-08,0713,2,BCCH,0,0,2,0,0,A
STEVSADMA1,TAH,2018-07-08,0713,2,AMRO,0,0,0,1,1,B
STEVSADMA1,TAH,2018-07-08,0713,2,HOSP,0,0,0,2,0,A
STEVSADMA1,TAH,2018-07-08,0713,2,HAWO,0,0,1,0,0,A
STEVSADMA1,TAH,2018-07-08,0713,2,MODO,0,0,1,0,0,A
STEVSADMA1,TAH,2018-07-08,0713,3,HAWO,0,0,1,0,0,B
STEVSADMA1,TAH,2018-07-08,0713,3,HOSP,0,0,2,0,0,A
STEVSADMA1,TAH,2018-07-08,0713,3,HOSP,0,1,1,0,0,B
STEVSADMA1,TAH,2018-07-08,0713,3,BCCH,0,0,2,0,0,A
STEVSADMA1,TAH,2018-07-08,0713,3,MODO,0,0,1,0,0,A
STEVSADMA1,TAH,2018-07-08,0713,3,GRCA,0,0,0,0,1,A
STEVSADMA1,TAH,2018-07-08,0713,3,AMRO,0,0,0,1,0,A
STEVSADMA1,TAH,2018-07-08,0713,3,SOSP,0,0,0,0,1,A
BOONGREMD2,MAV,2018-07-10,0702,1,GRCA,1,0,0,0,0,B
BOONGREMD2,MAV,2018-07-10,0702,1,HOWR,1,1,0,0,0,A
BOONGREMD2,MAV,2018-07-10,0702,1,NOCA,0,0,1,0,0,A
BOONGREMD2,MAV,2018-07-10,0702,1,FICR,0,0,1,0,0,A
BOONGREMD2,MAV,2018-07-10,0702,1,AMRO,1,0,0,0,0,A
BOONGREMD2,MAV,2018-07-10,0702,1,HOFI,2,0,0,0,0,B
BOONGREMD2,MAV,2018-07-10,0702,1,CARW,0,2,0,0,0,A
BOONGREMD2,MAV,2018-07-10,0702,2,NOCA,0,1,0,0,0,A
BOONGREMD2,MAV,2018-07-10,0702,2,HOWR,1,0,0,0,0,A
BOONGREMD2,MAV,2018-07-10,0702,2,CARW,1,1,0,0,0,A
BOONGREMD2,MAV,2018-07-10,0702,2,FICR,0,3,0,0,0,A
BOONGREMD2,MAV,2018-07-10,0702,2,NOCA,1,0,1,1,0,B
BOONGREMD2,MAV,2018-07-10,0702,2,HOSP,2,0,0,0,0,B
BOONGREMD2,MAV,2018-07-10,0702,3,CARW,0,1,0,0,0,A
BOONGREMD2,MAV,2018-07-10,0702,3,HOWR,0,1,0,0,0,A
BOONGREMD2,MAV,2018-07-10,0702,3,NOCA,NA,NA,1,1,NA,A
BULLTHOMA1,TAH,2018-07-11,0704,1,HOSP,0,0,0,1,1,A
BULLTHOMA1,TAH,2018-07-11,0704,1,AMRO,0,0,0,0,1,A
BULLTHOMA1,TAH,2018-07-11,0704,1,HAWO,0,0,1,0,0,A
BULLTHOMA1,TAH,2018-07-11,0704,1,GRCA,0,0,0,1,1,A
BULLTHOMA1,TAH,2018-07-11,0704,1,HOSP,0,1,0,0,0,V
BULLTHOMA1,TAH,2018-07-11,0704,2,GRCA,0,0,0,1,0,A
BULLTHOMA1,TAH,2018-07-11,0704,2,HAWO,0,2,0,0,0,B
BULLTHOMA1,TAH,2018-07-11,0704,2,HOSP,1,0,0,0,0,V
BULLTHOMA1,TAH,2018-07-11,0704,2,HOSP,0,0,1,1,0,A
BULLTHOMA1,TAH,2018-07-11,0704,2,REVI,0,0,0,0,1,A
BULLTHOMA1,TAH,2018-07-11,0704,3,AMRO,0,0,0,0,1,A
BULLTHOMA1,TAH,2018-07-11,0704,3,HAWO,0,0,1,0,0,B
BULLTHOMA1,TAH,2018-07-11,0704,3,HOSP,0,0,1,1,0,A
